T	38.666130000	-119.638600000	2473.9		
T	38.666220000	-119.638410000	2474.1		
T	38.666270000	-119.638160000	2475.9		
T	38.666270000	-119.637970000	2478.7		
T	38.666240000	-119.637610000	2483.3		
T	38.666230000	-119.637350000	2485.6		
T	38.666210000	-119.637080000	2488.6		
T	38.666250000	-119.636820000	2491.8		
T	38.666290000	-119.636650000	2494.0		
T	38.666350000	-119.636520000	2495.1		
T	38.666430000	-119.636360000	2498.2		
T	38.666560000	-119.636210000	2501.0		
T	38.666660000	-119.636130000	2502.8		
T	38.666730000	-119.636070000	2503.7		
T	38.666800000	-119.635980000	2503.9		
T	38.666900000	-119.635830000	2503.3		
T	38.666960000	-119.635720000	2502.9		
T	38.666980000	-119.635650000	2502.8		
T	38.667020000	-119.635520000	2503.1		
T	38.667030000	-119.635390000	2503.5		
T	38.667020000	-119.635120000	2504.6		
T	38.666990000	-119.634740000	2506.9		
T	38.666940000	-119.634370000	2508.3		
T	38.666910000	-119.634100000	2509.3		
T	38.666910000	-119.633900000	2510.2		
T	38.666900000	-119.633670000	2510.8		
T	38.666910000	-119.633450000	2511.3		
T	38.666940000	-119.633280000	2511.7		
T	38.666970000	-119.633130000	2511.8		
T	38.667080000	-119.632870000	2512.5		
T	38.667120000	-119.632790000	2513.0		
T	38.667550000	-119.632050000	2520.7		
T	38.668370000	-119.630800000	2530.0		
T	38.669330000	-119.629470000	2521.1		
T	38.670760000	-119.627590000	2511.5		
T	38.671830000	-119.626160000	2513.8		
T	38.673530000	-119.623900000	2523.2		
T	38.675720000	-119.621030000	2539.3		
T	38.675880000	-119.620790000	2539.0		
T	38.676280000	-119.620150000	2536.0		
T	38.676370000	-119.619930000	2535.2		
T	38.676430000	-119.619550000	2533.9		
T	38.676430000	-119.619180000	2533.5		
T	38.676370000	-119.618890000	2533.5		
T	38.676170000	-119.618430000	2532.0		
T	38.674780000	-119.615730000	2515.2		
T	38.674520000	-119.615220000	2512.2		
T	38.674260000	-119.614310000	2508.1		
T	38.674050000	-119.612770000	2500.7		
T	38.673780000	-119.610410000	2492.2		
T	38.673850000	-119.606720000	2478.4		
T	38.673950000	-119.605630000	2474.9		
T	38.673980000	-119.605410000	2474.4		
T	38.674250000	-119.604510000	2471.8		
T	38.674370000	-119.604160000	2469.9		
T	38.674710000	-119.603470000	2466.9		
T	38.675140000	-119.602900000	2464.5		
T	38.675500000	-119.602460000	2463.1		
T	38.676650000	-119.601480000	2452.4		
T	38.678240000	-119.600010000	2446.0		
T	38.679710000	-119.598730000	2435.1		
T	38.680370000	-119.598140000	2428.3		
T	38.680540000	-119.597950000	2427.2		
T	38.680760000	-119.597640000	2426.7		
T	38.680910000	-119.597350000	2426.0		
T	38.680960000	-119.597250000	2425.8		
T	38.681120000	-119.596820000	2425.3		
T	38.681230000	-119.596420000	2425.3		
T	38.681290000	-119.596130000	2424.7		
T	38.681290000	-119.596120000	2424.6		
T	38.681340000	-119.595700000	2421.3		
T	38.681330000	-119.595110000	2417.8		
T	38.681280000	-119.594730000	2418.9		
T	38.681180000	-119.594210000	2420.0		
T	38.681030000	-119.593720000	2422.0		
T	38.680920000	-119.593390000	2422.7		
T	38.680820000	-119.593150000	2422.4		
T	38.680630000	-119.592840000	2421.2		
T	38.680520000	-119.592670000	2419.8		
T	38.680320000	-119.592440000	2415.8		
T	38.680160000	-119.592300000	2414.5		
T	38.679880000	-119.592180000	2412.7		
T	38.679580000	-119.592080000	2410.8		
T	38.679370000	-119.592050000	2408.7		
T	38.678770000	-119.592020000	2405.1		
T	38.678530000	-119.592000000	2403.4		
T	38.678290000	-119.591950000	2399.0		
T	38.678060000	-119.591860000	2396.7		
T	38.677690000	-119.591670000	2394.6		
T	38.677420000	-119.591500000	2392.5		
T	38.677240000	-119.591360000	2391.0		
T	38.676860000	-119.591040000	2385.6		
T	38.676160000	-119.590340000	2380.8		
